quiz_id	num_items	num_students	num_skills	frac_nans	VIBO_fixed_1e-05_auc_mean	VIBO_fixed_1e-05_time	VIBO_fixed_0.0001_auc_mean	VIBO_fixed_0.0001_time	VIBO_fixed_0.001_auc_mean	VIBO_fixed_0.001_time	VIBO_fixed_0.01_auc_mean	VIBO_fixed_0.01_time	VIBO_fixed_0.1_auc_mean	VIBO_fixed_0.1_time	VIBO_fixed_1_auc_mean	VIBO_fixed_1_time	SparFAE_fixed_1e-05_auc_mean	SparFAE_fixed_1e-05_time	SparFAE_fixed_0.0001_auc_mean	SparFAE_fixed_0.0001_time	SparFAE_fixed_0.001_auc_mean	SparFAE_fixed_0.001_time	SparFAE_fixed_0.01_auc_mean	SparFAE_fixed_0.01_time	SparFAE_fixed_0.1_auc_mean	SparFAE_fixed_0.1_time	SparFAE_fixed_1_auc_mean	SparFAE_fixed_1_time
78	15	2393	2	0.100265	0.867356	10.1544	0.867262	10.1468	0.867124	10.7299	0.86651	10.858	0.853396	10.5552	0.796744	10.7416	0.867611	0.0567824	0.867611	0.0619467	0.867611	0.0554445	0.867611	0.0631107	0.867611	0.0712999	0.867603	0.0563353
6	15	2120	4	0.117421	0.892746	9.57571	0.892787	9.26815	0.892684	8.99488	0.89187	8.95751	0.878455	8.9312	0.81568	9.29025	0.894206	0.0673635	0.894206	0.0584107	0.894206	0.051185	0.894206	0.0512039	0.894189	0.05038	0.894128	0.0533548
68	13	2603	4	0.118502	0.934153	11.1596	0.934339	10.69	0.934062	11.3182	0.931629	11.2118	0.913481	11.174	0.871421	10.7984	0.934438	0.0598086	0.934438	0.055467	0.934439	0.0557507	0.934439	0.0480722	0.934397	0.0482757	0.934294	0.0452998
42	9	506	4	0.104084	0.949247	2.18596	0.948923	2.26778	0.948985	2.23236	0.949296	2.24184	0.943261	2.23665	0.937744	2.23352	0.949981	0.0270288	0.949981	0.0255387	0.949981	0.021946	0.949887	0.0229381	0.949745	0.018073	0.949685	0.0173282
70	3	57	1	0.00584795	0.851572	0.281058	0.895076	0.292674	0.898947	0.283767	0.883368	0.284171	0.877345	0.284435	0.907523	0.284567	0.929603	0.00746527	0.929603	0.00645263	0.929603	0.00634654	0.929603	0.00621786	0.921603	0.00597844	0.917468	0.00543907
59	15	2366	2	0.112623	0.871904	10.0135	0.871827	9.99061	0.871732	9.97252	0.871015	10.3417	0.8579	10.4961	0.799703	10.4007	0.872812	0.0545854	0.872812	0.0613141	0.872812	0.072866	0.872811	0.0541422	0.872811	0.0618085	0.872783	0.0555473
25	20	2709	6	0.175138	0.92091	11.708	0.920972	11.8825	0.92077	11.6108	0.919287	11.8596	0.907883	11.631	0.872661	11.6367	0.921256	0.0662865	0.921256	0.0735419	0.921256	0.0678596	0.921258	0.0756174	0.921243	0.0653006	0.921126	0.0726155
55	10	1739	5	0.104773	0.941341	7.58207	0.941479	7.4146	0.940983	7.59454	0.939867	7.75486	0.93615	7.48567	0.932005	7.81677	0.941784	0.0420935	0.941784	0.03485	0.941784	0.034641	0.941784	0.0316779	0.941782	0.0305655	0.941774	0.0235491
79	18	83	1	0.172021	0.743172	0.36646	0.730024	0.366543	0.729508	0.365672	0.749524	0.363486	0.729714	0.36145	0.701655	0.38967	0.756397	0.0384691	0.756397	0.0414185	0.756397	0.0389396	0.756397	0.0386041	0.756501	0.0395649	0.756041	0.0395325
86	18	2620	2	0.2	0.821066	11.4385	0.821257	12.2294	0.821106	12.0732	0.820812	11.876	0.809865	11.3975	0.751239	11.7718	0.824325	0.0686986	0.824325	0.0860424	0.824325	0.0670609	0.824325	0.0660807	0.824325	0.0699205	0.824319	0.071247
