quiz_id	num_items	num_students	num_skills	frac_nans	SPARFA_l1_0.001_l2_0.001_auc_mean	SPARFA_l1_0.001_l2_0.001_time	SPARFA_l1_0.05_l2_0.001_auc_mean	SPARFA_l1_0.05_l2_0.001_time	SPARFA_l1_1_l2_0.001_auc_mean	SPARFA_l1_1_l2_0.001_time	SPARFA_l1_0.05_l2_0.05_auc_mean	SPARFA_l1_0.05_l2_0.05_time	SPARFA_l1_1_l2_0.05_auc_mean	SPARFA_l1_1_l2_0.05_time	SPARFA_l1_1_l2_1_auc_mean	SPARFA_l1_1_l2_1_time	VIBO_1e-05_auc_mean	VIBO_1e-05_time	VIBO_0.0001_auc_mean	VIBO_0.0001_time	VIBO_0.001_auc_mean	VIBO_0.001_time	VIBO_0.01_auc_mean	VIBO_0.01_time	VIBO_0.1_auc_mean	VIBO_0.1_time	VIBO_1_auc_mean	VIBO_1_time	QFactor_l1_0.001_l2_0.001_auc_mean	QFactor_l1_0.001_l2_0.001_time	QFactor_l1_0.05_l2_0.001_auc_mean	QFactor_l1_0.05_l2_0.001_time	QFactor_l1_1_l2_0.001_auc_mean	QFactor_l1_1_l2_0.001_time	QFactor_l1_0.05_l2_0.05_auc_mean	QFactor_l1_0.05_l2_0.05_time	QFactor_l1_1_l2_0.05_auc_mean	QFactor_l1_1_l2_0.05_time	QFactor_l1_1_l2_1_auc_mean	QFactor_l1_1_l2_1_time	Q2Factor_l1_0.001_l2_0.001_auc_mean	Q2Factor_l1_0.001_l2_0.001_time	Q2Factor_l1_0.05_l2_0.001_auc_mean	Q2Factor_l1_0.05_l2_0.001_time	Q2Factor_l1_1_l2_0.001_auc_mean	Q2Factor_l1_1_l2_0.001_time	Q2Factor_l1_0.05_l2_0.05_auc_mean	Q2Factor_l1_0.05_l2_0.05_time	Q2Factor_l1_1_l2_0.05_auc_mean	Q2Factor_l1_1_l2_0.05_time	Q2Factor_l1_1_l2_1_auc_mean	Q2Factor_l1_1_l2_1_time
78	15	2393	2	0.100265	0.897573	22.381	0.897665	22.2893	0.896774	22.1822	0.894366	17.3396	0.893764	17.3863	0.886176	15.6907	0.878699	9.61622	0.877135	9.89045	0.877947	9.76681	0.876939	10.0107	0.864987	9.9238	0.706822	9.67378	0.871819	0.681766	0.871663	2.03571	0.872522	2.31124	0.872829	2.03001	0.873134	1.84467	0.87281	1.45306	0.880175	9.54962	0.880236	11.7656	0.880093	12.3425	0.87864	3.95733	0.878526	4.06659	0.875976	1.72442
6	15	2120	4	0.117421	0.950676	46.3723	0.951045	42.8265	0.949038	40.0863	0.941622	25.1707	0.938555	24.3529	0.916981	23.0787	0.917253	9.08349	0.917256	9.05555	0.912266	9.01101	0.910109	9.16279	0.897717	9.17668	0.692233	9.53364	0.897226	3.83469	0.896401	3.5299	0.897219	3.30251	0.896484	2.92924	0.896458	2.99423	0.89603	1.85743	0.919442	33.732	0.919521	33.577	0.921431	22.4132	0.916798	5.63677	0.915658	6.2688	0.906023	2.1916
68	13	2603	4	0.118502	0.977659	61.3781	0.97842	60.4269	0.978033	52.1049	0.972803	31.2742	0.972823	30.8036	0.955736	26.8299	0.956183	10.6605	0.955706	10.3621	0.955426	10.3824	0.947884	10.7875	0.932109	10.5835	0.821068	10.5689	0.94222	4.03625	0.942505	3.57684	0.941749	3.81705	0.943068	2.98388	0.942328	2.77494	0.942206	1.51267	0.956708	40.9237	0.956441	37.5461	0.956221	26.2	0.953135	7.68222	0.952958	6.13451	0.948972	1.84544
42	9	506	4	0.104084	0.993401	13.1632	0.993146	13.6053	0.990403	12.8401	0.985406	6.70183	0.984816	6.54016	0.962238	5.74511	0.957359	2.60984	0.960493	2.65623	0.95778	2.53945	0.955482	2.38799	0.959982	2.36133	0.725634	2.45132	0.955925	0.439352	0.955572	0.386926	0.955002	0.299362	0.952947	0.206209	0.954208	0.223622	0.95057	0.12442	0.974063	1.54943	0.976622	1.83094	0.975667	1.58287	0.970977	0.413664	0.972163	0.355419	0.953574	0.115506
70	3	57	1	0.00584795	0.957639	0.409078	0.957639	0.389122	0.957639	0.409203	0.949723	0.301395	0.955091	0.315072	0.899701	0.236911	0.90014	0.317518	0.834696	0.330768	0.905798	0.310754	0.796639	0.326911	0.827825	0.347374	0.572888	0.321574	0.955091	0.0193697	0.957688	0.0194747	0.957688	0.0187511	0.957688	0.0204336	0.957688	0.0162077	0.946715	0.0183116	0.94962	0.0263382	0.94897	0.0285166	0.954652	0.023044	0.952055	0.0203524	0.953792	0.0212497	0.946715	0.0190949
59	15	2366	2	0.112623	0.911881	25.1475	0.911899	25.1658	0.910525	23.8375	0.905743	18.9016	0.905583	18.8716	0.895135	16.8967	0.888285	10.6776	0.887919	10.0816	0.888634	10.7152	0.885283	10.9315	0.873725	10.916	0.711881	11.1443	0.884173	1.78863	0.884292	1.70869	0.884744	2.12533	0.884238	1.83143	0.884339	1.73424	0.885046	1.36813	0.891498	9.69217	0.89181	9.96736	0.891926	13.683	0.890362	4.85603	0.890564	4.25739	0.887495	1.87152
25	20	2709	6	0.175138	0.974642	94.1776	0.977196	94.1291	0.977628	86.0476	0.97254	44.7518	0.971177	44.2461	0.955774	43.3801	0.946845	12.8529	0.947243	13.1846	0.948002	13.0083	0.943468	12.716	0.935732	13.2114	0.809511	13.1182	0.936298	20.9999	0.934775	16.437	0.934481	16.4077	0.93576	13.689	0.936845	12.4901	0.934728	9.14358	0.953833	174.327	0.954134	204.369	0.953216	134.998	0.950816	32.9983	0.949245	29.2033	0.943721	10.7893
55	10	1739	5	0.104773	0.994152	58.5086	0.994331	58.5511	0.994634	52.0689	0.991586	25.7681	0.990414	25.4389	0.97495	23.2842	0.970408	8.36074	0.970095	8.61851	0.969799	8.45841	0.96976	8.35639	0.961492	8.36376	0.77692	8.3854	0.95032	2.02364	0.953557	2.05952	0.949465	1.77657	0.9526	1.06414	0.951027	1.13741	0.952398	0.645489	0.979026	11.2604	0.978799	8.27429	0.977893	12.1485	0.973509	2.28297	0.974037	2.57535	0.966657	0.74537
79	18	83	1	0.172021	0.733893	0.596097	0.732809	0.635514	0.738137	0.566979	0.747786	0.552989	0.74972	0.476192	0.74659	0.377164	0.696286	0.436309	0.676607	0.408528	0.745222	0.415446	0.683939	0.421879	0.653544	0.398946	0.558668	0.384426	0.746627	0.0396466	0.749235	0.0425602	0.753214	0.0424994	0.752886	0.0320553	0.750805	0.0319334	0.743159	0.0275776	0.744869	0.142755	0.749948	0.113668	0.743119	0.0545103	0.756507	0.0546179	0.754169	0.0379663	0.724281	0.0253943
86	18	2620	2	0.2	0.851856	25.7092	0.851436	25.8002	0.849968	25.349	0.847472	20.1098	0.847111	20.0091	0.842176	18.3354	0.835276	12.3601	0.836782	12.2157	0.833788	12.5605	0.831457	12.6344	0.821806	11.9837	0.639179	12.4298	0.82864	2.4856	0.82862	2.34872	0.829118	2.05604	0.826959	2.45981	0.828162	2.05753	0.82903	1.65615	0.835334	9.53153	0.835456	9.79382	0.835816	14.4472	0.833551	5.64673	0.833936	5.80795	0.830517	2.8744
